Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	
Timestamp	Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	
RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	
no units	mSecs	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	deg/sec*	no units	deg/sec*	no units	deg/sec*	
11904	26343.75	2831	-2.14457831325301	2225	-9.44578313253012	2267	-2.65060240963855	-116	0.473282442748092	-31	1.77099236641221	124	-1.89312977099237	
12544	26363.28125	2831	-2.19277108433735	2229	-9.44578313253012	2268	-2.66265060240964	-112	0.702290076335878	-46	1.70992366412214	116	-1.77099236641221	
13184	26382.8125	2830	-2.16867469879518	2227	-9.43373493975904	2267	-2.65060240963855	-103	0.702290076335878	-46	1.57251908396947	104	-1.58778625954198	
13824	26402.34375	2828	-2.1566265060241	2226	-9.40963855421687	2266	-2.63855421686747	-119	1.20610687022901	-79	1.81679389312977	104	-1.58778625954198	
14464	26421.875	2827	-2.16867469879518	2227	-9.39759036144578	2264	-2.6144578313253	-111	1.06870229007634	-70	1.69465648854962	96	-1.46564885496183	
15104	26441.40625	2828	-2.18072289156627	2228	-9.40963855421687	2266	-2.63855421686747	-96	0.961832061068702	-63	1.46564885496183	87	-1.32824427480916	
15744	26460.9375	2825	-2.18072289156627	2228	-9.37349397590362	2267	-2.65060240963855	-97	0.83969465648855	-55	1.48091603053435	80	-1.22137404580153	
16384	26480.46875	2830	-2.16867469879518	2227	-9.43373493975904	2263	-2.60240963855422	-83	0.549618320610687	-36	1.26717557251908	74	-1.12977099236641	
17024	26500	2833	-2.13253012048193	2224	-9.46987951807229	2260	-2.56626506024096	-85	0.33587786259542	-22	1.29770992366412	60	-0.916030534351145	
17664	26519.53125	2836	-2.14457831325301	2225	-9.50602409638554	2258	-2.5421686746988	-94	0.50381679389313	-33	1.43511450381679	64	-0.977099236641221	
18304	26539.0625	2834	-2.16867469879518	2227	-9.48192771084337	2258	-2.5421686746988	-67	0.625954198473282	-41	1.02290076335878	83	-1.26717557251908	
18944	26558.59375	2831	-2.18072289156627	2228	-9.44578313253012	2261	-2.57831325301205	-73	1.05343511450382	-69	1.11450381679389	100	-1.52671755725191	
19584	26578.125	2828	-2.16867469879518	2227	-9.40963855421687	2263	-2.60240963855422	-62	0.961832061068702	-63	0.946564885496183	117	-1.78625954198473	
20224	26597.65625	2828	-2.20481927710843	2230	-9.40963855421687	2263	-2.60240963855422	-64	0.854961832061069	-56	0.977099236641221	105	-1.6030534351145	
20864	26617.1875	2827	-2.18072289156627	2228	-9.39759036144578	2265	-2.62650602409639	-42	0.717557251908397	-47	0.641221374045801	107	-1.63358778625954	
21504	26636.71875	2830	-2.14457831325301	2225	-9.43373493975904	2266	-2.63855421686747	-47	0.519083969465649	-34	0.717557251908397	89	-1.3587786259542	
22144	26656.25	2831	-2.13253012048193	2224	-9.44578313253012	2265	-2.62650602409639	-59	0.534351145038168	-35	0.900763358778626	93	-1.41984732824427	
22784	26675.78125	2832	-2.10843373493976	2222	-9.45783132530121	2264	-2.6144578313253	-67	0.885496183206107	-58	1.02290076335878	96	-1.46564885496183	
23424	26695.3125	2833	-2.12048192771084	2223	-9.46987951807229	2261	-2.57831325301205	-62	1.06870229007634	-70	0.946564885496183	84	-1.2824427480916	
24064	26714.84375	2831	-2.13253012048193	2224	-9.44578313253012	2260	-2.56626506024096	-55	1.06870229007634	-70	0.83969465648855	87	-1.32824427480916	
24704	26734.375	2830	-2.09638554216868	2221	-9.43373493975904	2262	-2.59036144578313	-63	0.900763358778626	-59	0.961832061068702	77	-1.17557251908397	
25344	26753.90625	2832	-2.09638554216868	2221	-9.45783132530121	2259	-2.55421686746988	-83	1.16030534351145	-76	1.26717557251908	85	-1.29770992366412	
25984	26773.4375	2833	-2.10843373493976	2222	-9.46987951807229	2261	-2.57831325301205	-93	1.06870229007634	-70	1.41984732824427	81	-1.23664122137405	
26624	26792.96875	2833	-2.10843373493976	2222	-9.46987951807229	2261	-2.57831325301205	-93	0.809160305343511	-53	1.41984732824427	96	-1.46564885496183	
27264	26812.5	2829	-2.09638554216868	2221	-9.42168674698795	2261	-2.57831325301205	-92	0.900763358778626	-59	1.40458015267176	89	-1.3587786259542	
27904	26832.03125	2831	-2.09638554216868	2221	-9.44578313253012	2261	-2.57831325301205	-90	0.702290076335878	-46	1.37404580152672	94	-1.43511450381679	
28544	26851.5625	2830	-2.07228915662651	2219	-9.43373493975904	2262	-2.59036144578313	-111	0.625954198473282	-41	1.69465648854962	91	-1.38931297709924	
29184	26871.09375	2829	-2.08433734939759	2220	-9.42168674698795	2261	-2.57831325301205	-106	0.641221374045801	-42	1.61832061068702	79	-1.20610687022901	
29824	26890.625	2831	-2.09638554216868	2221	-9.44578313253012	2259	-2.55421686746988	-105	0.748091603053435	-49	1.6030534351145	73	-1.11450381679389	
30464	26910.15625	2832	-2.10843373493976	2222	-9.45783132530121	2260	-2.56626506024096	-100	0.610687022900763	-40	1.52671755725191	59	-0.900763358778626	
31104	26929.6875	2830	-2.10843373493976	2222	-9.43373493975904	2261	-2.57831325301205	-106	0.259541984732824	-17	1.61832061068702	54	-0.82442748091603	
31744	26949.21875	2830	-2.10843373493976	2222	-9.43373493975904	2260	-2.56626506024096	-122	0.274809160305344	-18	1.86259541984733	45	-0.687022900763359	
32384	26968.75	2831	-2.13253012048193	2224	-9.44578313253012	2261	-2.57831325301205	-117	0.16793893129771	-11	1.78625954198473	52	-0.793893129770992	
33024	26988.28125	2830	-2.14457831325301	2225	-9.43373493975904	2261	-2.57831325301205	-127	0	0	1.93893129770992	44	-0.67175572519084	
